company,description,location,rating,salary,title
,"As a member of our Engineering team you’ll work closely with the Product team, ensuring that customer experience is front-and-centre for all future features.","Ottawa, ON",,"$95,000 - $125,000 a year",Senior Software Developer
Upland Software,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",2.8,,Senior Software Developer
,"Implement full stack product functionality – design, code, and test.,As the successful candidate, you will be a full stack developer with a minimum of 3 years…","Ottawa, ON",,,Software Developer with Golang skills
Combat Networks,"Combat Networks is a full-service provider and network integrator, specializing in comprehensive converged network solutions (voice, video and data networking)…","Ottawa, ON",4.0,,Full Stack Web Developer
Canopy Growth Corporation,"This is a full-time role based out of Kanata, ON, Toronto, ON or Montreal, QC.,Participate in Waterfall and Agile software development projects that span…","Ottawa, ON",2.4,,Full-Stack Developer
Moneris Solutions Corporation,"Owns the full stack and entire lifecycle of key software applications, from the roadmap to the design/architecture to implementation and continuous iterative…","Ottawa, ON",3.5,,Senior Full Stack Developer - React/Java/JavaScript
,"Work with development teams and product managers to ideate software solutions.,Design front-end and back-end software architecture, and build software…","Kanata, ON",,"$65,000 - $100,000 a year",Senior Full Stack Developer – Cloud Server
Rockport Networks,"5+ years of full-stack or backend software development experience.,You will participate in the full development cycle, including contribution to architecture,…","Ottawa, ON",4.0,,Software Developer
,"Build, and maintain high traffic applications/services; responsible for system requirements, design, full-stack development, testing, deployment, support and…","Ottawa, ON",,,Full Stack Developer
Geotab,"Lead and contribute to system design discussions while acting as a mentor and SME to other Junior developers.,As a Senior Software Developer, you understand the…","Ottawa, ON",3.4,,Senior Software Developer
AudienceView,"Collaborate with product developers, quality analysts, client services agents and salespeople.,Develop in full-stack open-source Java technologies - Spring,…","Ottawa, ON",3.3,,Java Developer
i-Sight,"Full-stack JavaScript development w/ a Node.js backend.,Have a 3+ year degree / diploma in engineering, programming or computer science or equivalent work…","Ottawa, ON",3.4,,Software Application Developer - Platform
Fortinet,"Familiar with full stack development.,Ability to take full ownership of assigned tasks and work well independently.,5+ years of software development experience.","Ottawa, ON",3.8,,Senior Application Developer
Moneris Solutions Corporation,"Owns the full stack and entire lifecycle of key software applications, from the roadmap to the design/architecture to implementation and continuous iterative…","Ottawa, ON",3.5,,Senior Full Stack Developer - React/Java/JavaScript
,"Work with development teams and product managers to ideate software solutions.,Design front-end and back-end software architecture, and build software…","Kanata, ON",,"$65,000 - $100,000 a year",Senior Full Stack Developer – Cloud Server
Rockport Networks,"5+ years of full-stack or backend software development experience.,You will participate in the full development cycle, including contribution to architecture,…","Ottawa, ON",4.0,,Software Developer
,"Build, and maintain high traffic applications/services; responsible for system requirements, design, full-stack development, testing, deployment, support and…","Ottawa, ON",,,Full Stack Developer
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
,"Full stack web development using Javascript, HTML5, CSS, etc.,Small project teams up to 5 take full responsibility to design, develop and deliver systems…","Ottawa, ON",,,C++ Developer
Kinaxis,"Experience with full stack development.,Work with latest technologies to extend our SOA solution.,Follow the best practices in software development - writing…","Ottawa, ON",4.0,,"Application Server Developer, C#"
Kinaxis,"Our customers rely on RapidResponse, our cloud platform, to plan their supply chains, monitor its execution and respond to issues and opportunities that arise.","Ottawa, ON",4.0,,Junior Full Stack Developer
Fortinet,"In addition, they will work closely with other developers and manager of system development team to implement their components by utilizing their knowledge and…","Ottawa, ON",3.8,,Web Developer
,"Implementing, testing, documenting, and maintaining back-end systems for multiple high-traffic services.,Providing constructive feedback in the form of code and…","Ottawa, ON",,,Intermediate Full Stack Software Developer (Remote within Canada)
,"A proven track record of development experience in the professional services industry.,Familiarity with the software development life cycle.","Ottawa, ON",,,Developers and Quality Control
,"Thought Leadership: You analyze MonetizeMore’s tech stack, systems and processes with the goal to iterate on a regular basis.","Ottawa, ON",,,Remote Full Stack Web Developer
Fortinet,"In addition, they will work closely with other developers and manager of system development team to implement their components by utilizing their knowledge and…","Ottawa, ON",3.8,,Web Developer
,"Implementing, testing, documenting, and maintaining back-end systems for multiple high-traffic services.,Providing constructive feedback in the form of code and…","Ottawa, ON",,,Intermediate Full Stack Software Developer (Remote within Canada)
,"A proven track record of development experience in the professional services industry.,Familiarity with the software development life cycle.","Ottawa, ON",,,Developers and Quality Control
,"Thought Leadership: You analyze MonetizeMore’s tech stack, systems and processes with the goal to iterate on a regular basis.","Ottawa, ON",,,Remote Full Stack Web Developer
,"Work/Life balance – Flexible hours, get stuff done and still have a full life outside of work.,You'll embrace front end development using React primarily as…","Ottawa, ON",,"$80,000 - $100,000 a year",Senior Front End Developer
i-Sight,"Full-stack JavaScript development of Case Management Systems with a Node.js backend.,Graduate of a university or college computer science program or equivalent…","Ottawa, ON",3.4,,Software Application Developer
Thales Group,"Mentor, support and coach junior developers.,Experience mentoring / supporting / coaching junior developers.,Thales est une entreprise où les personnes les plus…","Ottawa, ON",4.0,,Senior Software Developer
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
,We are seeking an experienced full-stack software developer to work with our development team to enhance our existing and new software product offerings.,"Ottawa, ON",,"$50,000 - $80,000 a year",Software Developer
Ross Video,"While we have individual specialties, we are all full stack developers.,If you are the successful candidate, you may be required to undergo a background check…","Ottawa, ON",3.7,,Software Developer - Inception (Job Req. #2021-061)
,"Experience understanding problems throughout the software stack and building appropriate solutions.,This position requires excellent communication skills,…","Ottawa, ON",,,Software Developer
Kinaxis,"Experience with full stack development.,Follow the best practices in software development - writing readable, loosely coupled code including unit and…","Ottawa, ON",4.0,,"Advisory Application Developer, C#"
Kinaxis,"Experience with full stack development.,Follow the best practices in software development - writing readable, loosely coupled code including unit and…","Ottawa, ON",4.0,,"Advisory Application Developer, C#"
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
,We are seeking an experienced full-stack software developer to work with our development team to enhance our existing and new software product offerings.,"Ottawa, ON",,"$50,000 - $80,000 a year",Software Developer
Ross Video,"While we have individual specialties, we are all full stack developers.,If you are the successful candidate, you may be required to undergo a background check…","Ottawa, ON",3.7,,Software Developer - Inception (Job Req. #2021-061)
,"Experience understanding problems throughout the software stack and building appropriate solutions.,This position requires excellent communication skills,…","Ottawa, ON",,,Software Developer
,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",,,Senior Software Developer
Microsoft,"If you're looking to develop software that helps business users as well as developers and spans the full stack, this team is for you.","Ottawa, ON",4.2,,Software Engineer
Payments Canada,"Reporting to the Manager, API, Network and Directory Services, we’re looking for a Senior Full Stack Developer that will work in a team environment to design…","Ottawa, ON",4.1,"$84,000 - $112,000 a year",Senior Full Stack Developer
Ciena,"Preferable knowledge of full stack web development experience with Python and JavaScript.,Help develop instrumentation interfacing classes to all of our…","Ottawa, ON",3.9,,Fall Co op/Intern: Instrumentation Automation Developer
Deloitte,"Experienced with 5+ years as a full stack developer and/or 2+ years of ServiceNow development.,Able to coach and develop junior developers on good design…","Ottawa, ON",4.0,,Senior Developer - ServiceNow Platform
Upland Software,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",2.8,,Senior Software Developer
Payments Canada,"Reporting to the Manager, API, Network and Directory Services, we’re looking for a Senior Full Stack Developer that will work in a team environment to design…","Ottawa, ON",4.1,"$84,000 - $112,000 a year",Senior Full Stack Developer
Ciena,"Preferable knowledge of full stack web development experience with Python and JavaScript.,Help develop instrumentation interfacing classes to all of our…","Ottawa, ON",3.9,,Fall Co op/Intern: Instrumentation Automation Developer
Deloitte,"Experienced with 5+ years as a full stack developer and/or 2+ years of ServiceNow development.,Able to coach and develop junior developers on good design…","Ottawa, ON",4.0,,Senior Developer - ServiceNow Platform
Upland Software,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",2.8,,Senior Software Developer
,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",,,Senior Software Developer
Microsoft,"If you're looking to develop software that helps business users as well as developers and spans the full stack, this team is for you.","Ottawa, ON",4.2,,Software Engineer
Kinaxis,"Experience with full stack development.,Follow the best practices in software development - writing readable, loosely coupled code including unit and…","Ottawa, ON",4.0,,"Advisory Application Developer, C#"
,"Implement full stack product functionality – design, code, and test.,As the successful candidate, you will be a full stack developer with a minimum of 3 years…","Ottawa, ON",,,Software Developer with Golang skills
Combat Networks,"Combat Networks is a full-service provider and network integrator, specializing in comprehensive converged network solutions (voice, video and data networking)…","Ottawa, ON",4.0,,Full Stack Web Developer
Canopy Growth Corporation,"This is a full-time role based out of Kanata, ON, Toronto, ON or Montreal, QC.,Participate in Waterfall and Agile software development projects that span…","Ottawa, ON",2.4,,Full-Stack Developer
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
,"Implement full stack product functionality – design, code, and test.,As the successful candidate, you will be a full stack developer with a minimum of 3 years…","Ottawa, ON",,,Software Developer with Golang skills
Combat Networks,"Combat Networks is a full-service provider and network integrator, specializing in comprehensive converged network solutions (voice, video and data networking)…","Ottawa, ON",4.0,,Full Stack Web Developer
Canopy Growth Corporation,"This is a full-time role based out of Kanata, ON, Toronto, ON or Montreal, QC.,Participate in Waterfall and Agile software development projects that span…","Ottawa, ON",2.4,,Full-Stack Developer
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Payments Canada,"Reporting to the Manager, API, Network and Directory Services, we’re looking for a Senior Full Stack Developer that will work in a team environment to design…","Ottawa, ON",4.1,"$84,000 - $112,000 a year",Senior Full Stack Developer
Ciena,"Preferable knowledge of full stack web development experience with Python and JavaScript.,Help develop instrumentation interfacing classes to all of our…","Ottawa, ON",3.9,,Fall Co op/Intern: Instrumentation Automation Developer
Deloitte,"Experienced with 5+ years as a full stack developer and/or 2+ years of ServiceNow development.,Able to coach and develop junior developers on good design…","Ottawa, ON",4.0,,Senior Developer - ServiceNow Platform
Upland Software,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",2.8,,Senior Software Developer
,"Full stack web development using Javascript, HTML5, CSS, etc.,Small project teams up to 5 take full responsibility to design, develop and deliver systems…","Ottawa, ON",,,C++ Developer
Kinaxis,"Experience with full stack development.,Work with latest technologies to extend our SOA solution.,Follow the best practices in software development - writing…","Ottawa, ON",4.0,,"Application Server Developer, C#"
Kinaxis,"Our customers rely on RapidResponse, our cloud platform, to plan their supply chains, monitor its execution and respond to issues and opportunities that arise.","Ottawa, ON",4.0,,Junior Full Stack Developer
,"Work/Life balance – Flexible hours, get stuff done and still have a full life outside of work.,You'll embrace front end development using React primarily as…","Ottawa, ON",,"$80,000 - $100,000 a year",Senior Front End Developer
,"Full stack web development using Javascript, HTML5, CSS, etc.,Small project teams up to 5 take full responsibility to design, develop and deliver systems…","Ottawa, ON",,,C++ Developer
Kinaxis,"Experience with full stack development.,Work with latest technologies to extend our SOA solution.,Follow the best practices in software development - writing…","Ottawa, ON",4.0,,"Application Server Developer, C#"
Kinaxis,"Our customers rely on RapidResponse, our cloud platform, to plan their supply chains, monitor its execution and respond to issues and opportunities that arise.","Ottawa, ON",4.0,,Junior Full Stack Developer
,"Work/Life balance – Flexible hours, get stuff done and still have a full life outside of work.,You'll embrace front end development using React primarily as…","Ottawa, ON",,"$80,000 - $100,000 a year",Senior Front End Developer
,"Implement full stack product functionality – design, code, and test.,As the successful candidate, you will be a full stack developer with a minimum of 3 years…","Ottawa, ON",,,Software Developer with Golang skills
Combat Networks,"Combat Networks is a full-service provider and network integrator, specializing in comprehensive converged network solutions (voice, video and data networking)…","Ottawa, ON",4.0,,Full Stack Web Developer
Canopy Growth Corporation,"This is a full-time role based out of Kanata, ON, Toronto, ON or Montreal, QC.,Participate in Waterfall and Agile software development projects that span…","Ottawa, ON",2.4,,Full-Stack Developer
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
i-Sight,"Full-stack JavaScript development of Case Management Systems with a Node.js backend.,Graduate of a university or college computer science program or equivalent…","Ottawa, ON",3.4,,Software Application Developer
Thales Group,"Mentor, support and coach junior developers.,Experience mentoring / supporting / coaching junior developers.,Thales est une entreprise où les personnes les plus…","Ottawa, ON",4.0,,Senior Software Developer
i-Sight,"Full-stack JavaScript development of Case Management Systems with a Node.js backend.,Graduate of a university or college computer science program or equivalent…","Ottawa, ON",3.4,,Software Application Developer
Thales Group,"Mentor, support and coach junior developers.,Experience mentoring / supporting / coaching junior developers.,Thales est une entreprise où les personnes les plus…","Ottawa, ON",4.0,,Senior Software Developer
Qlik,"Providing technical leadership, mentoring and coaching of developers on the team.,Taking full ownership of micro-services and having input into our future…","Ottawa, ON",3.7,,Software Engineer
,"Full stack web development using Javascript, HTML5, CSS, etc.,Small project teams up to 5 take full responsibility to design, develop and deliver systems…","Ottawa, ON",,,C++ Developer
Kinaxis,"Experience with full stack development.,Work with latest technologies to extend our SOA solution.,Follow the best practices in software development - writing…","Ottawa, ON",4.0,,"Application Server Developer, C#"
Kinaxis,"Our customers rely on RapidResponse, our cloud platform, to plan their supply chains, monitor its execution and respond to issues and opportunities that arise.","Ottawa, ON",4.0,,Junior Full Stack Developer
,"Work/Life balance – Flexible hours, get stuff done and still have a full life outside of work.,You'll embrace front end development using React primarily as…","Ottawa, ON",,"$80,000 - $100,000 a year",Senior Front End Developer
,"Work as a key member of an agile team to design, develop, and test end-to-end projects that meet our clients' requirements.,Experience with RxJS is an asset.","Ottawa, ON",,,Senior Software Developer
,"Get ramped up on our tech stack and architecture, working closely with senior members of the Engineering Team.,Actively contribute to product planning sessions.","Ottawa, ON",,"$75,000 - $95,000 a year",Software Developer
,"Troubleshoot and fix reported issues with Linux networking stack, routing protocol and services; identify root cause, diagnose, debug and deliver robust timely…","Ottawa, ON",,,Switching/Routing Software Developer
,"Build and maintain features across the entire development stack.,Build and maintain UI components using modern front-end technologies.","Ottawa, ON",,,Senior Full Stack Software Developer (Remote)
i-Sight,"Full-stack JavaScript development of Case Management Systems with a Node.js backend.,Graduate of a university or college computer science program or equivalent…","Ottawa, ON",3.4,,Software Application Developer
Thales Group,"Mentor, support and coach junior developers.,Experience mentoring / supporting / coaching junior developers.,Thales est une entreprise où les personnes les plus…","Ottawa, ON",4.0,,Senior Software Developer
,"Senior Software Developer - Full Stack (Remote within Canada).,Implementing, testing, documenting, and maintaining back-end systems for multiple high-traffic…","Ottawa, ON",,,Senior Software Developer - Full Stack (Remote within Canada)
,"Full stack web development using Javascript, HTML5, CSS, etc.,Small project teams up to 5 take full responsibility to design, develop and deliver systems…","Ottawa, ON",,,Software Engineer / Developer (Contract)
Solace Corporation,Deliver features as a full-stack developer with the ability to switch between the different layers of an application/service.,"Kanata, ON",4.3,,Full Stack Software Developer
SurveyMonkey,"12+ years experience in web application development across the full stack (Backend and Frontend).,Lead multiple technical projects by working with product…","Ottawa, ON",4.1,,Staff Software Engineer - Full-Stack
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Xylem,".NET full-stack software development including desktop application, Windows service, REST API, and front-end website development.","Ottawa, ON",3.4,,Senior Web & Application Software Developer
,The skilled Developer will have the primary responsibility for building and shaping visitors’ experience at our websites and other online properties.,"Ottawa, ON",,,Marketing Web Developer (Remote within Canada)
Geotab,"Lead and contribute to system design discussions while acting as a mentor and SME to other Junior developers.,As a Senior Software Developer, you understand the…","Ottawa, ON",3.4,,Senior Software Developer
AudienceView,"Collaborate with product developers, quality analysts, client services agents and salespeople.,Develop in full-stack open-source Java technologies - Spring,…","Ottawa, ON",3.3,,Java Developer
i-Sight,"Full-stack JavaScript development w/ a Node.js backend.,Have a 3+ year degree / diploma in engineering, programming or computer science or equivalent work…","Ottawa, ON",3.4,,Software Application Developer - Platform
Qlik,"Providing technical leadership, mentoring and coaching of developers on the team.,Taking full ownership of micro-services and having input into our future…","Ottawa, ON",3.7,,Software Engineer
,"Work as a key member of an agile team to design, develop, and test end-to-end projects that meet our clients' requirements.,Experience with RxJS is an asset.","Ottawa, ON",,,Senior Software Developer
,"Get ramped up on our tech stack and architecture, working closely with senior members of the Engineering Team.,Actively contribute to product planning sessions.","Ottawa, ON",,"$75,000 - $95,000 a year",Software Developer
,"Troubleshoot and fix reported issues with Linux networking stack, routing protocol and services; identify root cause, diagnose, debug and deliver robust timely…","Ottawa, ON",,,Switching/Routing Software Developer
,"Build and maintain features across the entire development stack.,Build and maintain UI components using modern front-end technologies.","Ottawa, ON",,,Senior Full Stack Software Developer (Remote)
,"Senior Software Developer - Full Stack (Remote within Canada).,Implementing, testing, documenting, and maintaining back-end systems for multiple high-traffic…","Ottawa, ON",,,Senior Software Developer - Full Stack (Remote within Canada)
,"Full stack web development using Javascript, HTML5, CSS, etc.,Small project teams up to 5 take full responsibility to design, develop and deliver systems…","Ottawa, ON",,,Software Engineer / Developer (Contract)
Solace Corporation,Deliver features as a full-stack developer with the ability to switch between the different layers of an application/service.,"Kanata, ON",4.3,,Full Stack Software Developer
SurveyMonkey,"12+ years experience in web application development across the full stack (Backend and Frontend).,Lead multiple technical projects by working with product…","Ottawa, ON",4.1,,Staff Software Engineer - Full-Stack
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Xylem,".NET full-stack software development including desktop application, Windows service, REST API, and front-end website development.","Ottawa, ON",3.4,,Senior Web & Application Software Developer
,The skilled Developer will have the primary responsibility for building and shaping visitors’ experience at our websites and other online properties.,"Ottawa, ON",,,Marketing Web Developer (Remote within Canada)
Geotab,"Lead and contribute to system design discussions while acting as a mentor and SME to other Junior developers.,As a Senior Software Developer, you understand the…","Ottawa, ON",3.4,,Senior Software Developer
AudienceView,"Collaborate with product developers, quality analysts, client services agents and salespeople.,Develop in full-stack open-source Java technologies - Spring,…","Ottawa, ON",3.3,,Java Developer
i-Sight,"Full-stack JavaScript development w/ a Node.js backend.,Have a 3+ year degree / diploma in engineering, programming or computer science or equivalent work…","Ottawa, ON",3.4,,Software Application Developer - Platform
,"Millions of errors costing people millions of dollars are being detected on a monthly basis at Noibu, as a Full Stack Developer you will help us build the…","Ottawa, ON",,,Frontend Engineer
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU; CRAN &amp; DRAN configurations; COTS HW.,Deliver scalability, resilience and performance by taking full advantage…","Ottawa, ON",4.1,,SW Developer - Cloud Native Scheduler
,"This role requires advanced to expert PHP, advanced to the expert level in the frontend stack CSS and JS, impeccable WordPress experience; and solid MySQL,…","Ottawa, ON",,"$70,000 a year",PHP WordPress (Backend) Developer
,"Collaborate with other software developers and other teams to plan, design, develop, test, and maintain STACS DNA software following established standards.","Ottawa, ON",,"$80,000 - $105,000 a year",Software Developer
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU.,As a developer on our 5G Virtualized Digital Unit Integration and Test Automation team, you'll be a key…","Ottawa, ON",4.1,,New graduate - Cloud Native vDU Test Automation
Kinaxis,"Experience with full stack development.,Follow the best practices in software development - writing readable, loosely coupled code including unit and…","Ottawa, ON",4.0,,"Advisory Application Developer, C#"
,"NET developer very familiar with Python / .,NET, SQL Server, and front end technologies like HTML, CSS, JSON, XML and JavaScript Frameworks like Angular and…","Ottawa, ON",,,Intermediate Software Developer (Remote)
Google,"Bachelor's degree in Computer Science, Engineering, a related field or equivalent practical experience.,8 years of experience in an Infrastructure-as-a-Service …","Ottawa, ON",4.3,,"Field Sales Manager, Public Sector, Google Cloud"
AudienceView,"As a successful candidate, you will bring extensive expertise in the design, framework &amp; methodology of data warehousing, and possess experience in the full…","Ottawa, ON",3.3,,Data Engineer
,"NET developer very familiar with Python / .,NET, SQL Server; and front end technologies like HTML, CSS, JSON, XML and JavaScript Frameworks like Angular and…","Ottawa, ON",,,Lead Full Stack Engineer (Remote)
Payments Canada,"Reporting to the Manager, API, Network and Directory Services, we’re looking for a Senior Full Stack Developer that will work in a team environment to design…","Ottawa, ON",4.1,"$84,000 - $112,000 a year",Senior Full Stack Developer
Ciena,"Preferable knowledge of full stack web development experience with Python and JavaScript.,Help develop instrumentation interfacing classes to all of our…","Ottawa, ON",3.9,,Fall Co op/Intern: Instrumentation Automation Developer
Deloitte,"Experienced with 5+ years as a full stack developer and/or 2+ years of ServiceNow development.,Able to coach and develop junior developers on good design…","Ottawa, ON",4.0,,Senior Developer - ServiceNow Platform
Upland Software,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",2.8,,Senior Software Developer
,"Millions of errors costing people millions of dollars are being detected on a monthly basis at Noibu, as a Full Stack Developer you will help us build the…","Ottawa, ON",,,Backend Engineer
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Ericsson,"Coordinate full-stack Virtualization of the 5G NR CU and DU.,Be able to deliver scalability, resilience, and performance by taking full advantage of the…","Ottawa, ON",4.1,,Senior Systems Developer - Cloud Native RAN
Kinaxis,"Minimum 5+ years of experience in Software development, including 5 years as a full stack developer.,Monitor development and production environments in order to…","Ottawa, ON",4.0,,Senior DevOps Developer
,"Implement full stack product functionality – design, code, and test.,As the successful candidate, you will be a full stack developer with a minimum of 3 years…","Ottawa, ON",,,Software Developer with Golang skills
Combat Networks,"Combat Networks is a full-service provider and network integrator, specializing in comprehensive converged network solutions (voice, video and data networking)…","Ottawa, ON",4.0,,Full Stack Web Developer
Canopy Growth Corporation,"This is a full-time role based out of Kanata, ON, Toronto, ON or Montreal, QC.,Participate in Waterfall and Agile software development projects that span…","Ottawa, ON",2.4,,Full-Stack Developer
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
,"Full stack web development using Javascript, HTML5, CSS, etc.,Small project teams up to 5 take full responsibility to design, develop and deliver systems…","Ottawa, ON",,,C++ Developer
,"You will help in developing security controls and educating developers on how to foster a culture of security.,Assist with our responsible disclosure program.","Ottawa, ON",,,Application Security Engineer (Remote within Canada)
Cisco Systems,"They will be open to full-stack development, handling front-end and back-end changes and own functionalities end-to-end.,BS / MS CS or equivalent degree.","Ottawa, ON",4.1,,Software Engineer - Cloud Tooling
Kinaxis,"Experience with full stack development.,Work with latest technologies to extend our SOA solution.,Follow the best practices in software development - writing…","Ottawa, ON",4.0,,"Application Server Developer, C#"
Kinaxis,"Our customers rely on RapidResponse, our cloud platform, to plan their supply chains, monitor its execution and respond to issues and opportunities that arise.","Ottawa, ON",4.0,,Junior Full Stack Developer
,"Work/Life balance – Flexible hours, get stuff done and still have a full life outside of work.,You'll embrace front end development using React primarily as…","Ottawa, ON",,"$80,000 - $100,000 a year",Senior Front End Developer
i-Sight,"Full-stack JavaScript development of Case Management Systems with a Node.js backend.,Graduate of a university or college computer science program or equivalent…","Ottawa, ON",3.4,,Software Application Developer
Thales Group,"Mentor, support and coach junior developers.,Experience mentoring / supporting / coaching junior developers.,Thales est une entreprise où les personnes les plus…","Ottawa, ON",4.0,,Senior Software Developer
Fortinet,"Familiar with full stack development.,Ability to take full ownership of assigned tasks and work well independently.,5+ years of software development experience.","Ottawa, ON",3.8,,Senior Application Developer
Qlik,"Providing technical leadership, mentoring and coaching of developers on the team.,Taking full ownership of micro-services and having input into our future…","Ottawa, ON",3.7,,Software Engineer
Qlik,"Providing technical leadership, mentoring and coaching of developers on the team.,Taking full ownership of micro-services and having input into our future…","Ottawa, ON",3.7,,Software Engineer
,"Millions of errors costing people millions of dollars are being detected on a monthly basis at Noibu, as a Full Stack Developer you will help us build the…","Ottawa, ON",,,Frontend Engineer
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU; CRAN &amp; DRAN configurations; COTS HW.,Deliver scalability, resilience and performance by taking full advantage…","Ottawa, ON",4.1,,SW Developer - Cloud Native Scheduler
,"This role requires advanced to expert PHP, advanced to the expert level in the frontend stack CSS and JS, impeccable WordPress experience; and solid MySQL,…","Ottawa, ON",,"$70,000 a year",PHP WordPress (Backend) Developer
,"Collaborate with other software developers and other teams to plan, design, develop, test, and maintain STACS DNA software following established standards.","Ottawa, ON",,"$80,000 - $105,000 a year",Software Developer
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU.,As a developer on our 5G Virtualized Digital Unit Integration and Test Automation team, you'll be a key…","Ottawa, ON",4.1,,New graduate - Cloud Native vDU Test Automation
,"NET developer very familiar with Python / .,NET, SQL Server, and front end technologies like HTML, CSS, JSON, XML and JavaScript Frameworks like Angular and…","Ottawa, ON",,,Intermediate Software Developer (Remote)
Kinaxis,"Experience with full stack development.,Follow the best practices in software development - writing readable, loosely coupled code including unit and…","Ottawa, ON",4.0,,"Advisory Application Developer, C#"
,"Work as a key member of an agile team to design, develop, and test end-to-end projects that meet our clients' requirements.,Experience with RxJS is an asset.","Ottawa, ON",,,Senior Software Developer
,"Get ramped up on our tech stack and architecture, working closely with senior members of the Engineering Team.,Actively contribute to product planning sessions.","Ottawa, ON",,"$75,000 - $95,000 a year",Software Developer
,"Troubleshoot and fix reported issues with Linux networking stack, routing protocol and services; identify root cause, diagnose, debug and deliver robust timely…","Ottawa, ON",,,Switching/Routing Software Developer
,"Build and maintain features across the entire development stack.,Build and maintain UI components using modern front-end technologies.","Ottawa, ON",,,Senior Full Stack Software Developer (Remote)
,"Senior Software Developer - Full Stack (Remote within Canada).,Implementing, testing, documenting, and maintaining back-end systems for multiple high-traffic…","Ottawa, ON",,,Senior Software Developer - Full Stack (Remote within Canada)
,"Full stack web development using Javascript, HTML5, CSS, etc.,Small project teams up to 5 take full responsibility to design, develop and deliver systems…","Ottawa, ON",,,Software Engineer / Developer (Contract)
,"Work as a key member of an agile team to design, develop, and test end-to-end projects that meet our clients' requirements.,Experience with RxJS is an asset.","Ottawa, ON",,,Senior Software Developer
,"Get ramped up on our tech stack and architecture, working closely with senior members of the Engineering Team.,Actively contribute to product planning sessions.","Ottawa, ON",,"$75,000 - $95,000 a year",Software Developer
,"Troubleshoot and fix reported issues with Linux networking stack, routing protocol and services; identify root cause, diagnose, debug and deliver robust timely…","Ottawa, ON",,,Switching/Routing Software Developer
,"Build and maintain features across the entire development stack.,Build and maintain UI components using modern front-end technologies.","Ottawa, ON",,,Senior Full Stack Software Developer (Remote)
,"Senior Software Developer - Full Stack (Remote within Canada).,Implementing, testing, documenting, and maintaining back-end systems for multiple high-traffic…","Ottawa, ON",,,Senior Software Developer - Full Stack (Remote within Canada)
,"Full stack web development using Javascript, HTML5, CSS, etc.,Small project teams up to 5 take full responsibility to design, develop and deliver systems…","Ottawa, ON",,,Software Engineer / Developer (Contract)
Google,"Bachelor's degree in Computer Science, Engineering, a related field or equivalent practical experience.,8 years of experience in an Infrastructure-as-a-Service …","Ottawa, ON",4.3,,"Field Sales Manager, Public Sector, Google Cloud"
